TITLE,PRICE,STOCK_AVAILABILITY,URL
"Saga, Volume 5 (Saga ...",£51.04,In stock,http://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html
Reskilling America: Learning to ...,£19.83,In stock,http://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html
"Rat Queens, Vol. 3: ...",£50.40,In stock,http://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
"Princess Jellyfish 2-in-1 Omnibus, ...",£13.61,In stock,http://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
Princess Between Worlds (Wide-Awake ...,£13.34,In stock,http://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html
"Pop Gun War, Volume ...",£18.97,In stock,http://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html
"Political Suicide: Missteps, Peccadilloes, ...",£36.28,In stock,http://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html
Patience,£10.16,In stock,http://books.toscrape.com/catalogue/patience_916/index.html
"Outcast, Vol. 1: A ...",£15.44,In stock,http://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
orange: The Complete Collection ...,£48.41,In stock,http://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
Online Marketing for Busy ...,£46.35,In stock,http://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html
On a Midnight Clear,£14.07,In stock,http://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html
Obsidian (Lux #1),£14.86,In stock,http://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html
My Paris Kitchen: Recipes ...,£33.37,In stock,http://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html
Masks and Shadows,£56.40,In stock,http://books.toscrape.com/catalogue/masks-and-shadows_909/index.html
Mama Tried: Traditional Italian ...,£14.02,In stock,http://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html
"Lumberjanes, Vol. 2: Friendship ...",£46.91,In stock,http://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
"Lumberjanes, Vol. 1: Beware ...",£45.61,In stock,http://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
Lumberjanes Vol. 3: A ...,£19.92,In stock,http://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
"Layered: Baking, Building, and ...",£40.11,In stock,http://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html
Judo: Seven Steps to ...,£53.90,In stock,http://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html
Join,£35.67,In stock,http://books.toscrape.com/catalogue/join_902/index.html
In the Country We ...,£22.00,In stock,http://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html
